Date,Open,High,Low,Close,Adj Close,Volume
2008-09-04,110.500000,113.250000,110.000000,111.449997,91.361031,99538
2008-09-05,109.500000,114.800003,108.699997,112.400002,92.139793,318786
2008-09-08,120.000000,122.000000,116.400002,117.000000,95.910652,684659
2008-09-09,118.500000,120.000000,114.300003,115.900002,95.008911,246845
2008-09-10,116.400002,118.000000,113.099998,113.949997,93.410400,250585
2008-09-11,114.000000,114.000000,109.150002,109.800003,90.008438,159026
2008-09-12,111.199997,111.449997,106.550003,107.250000,87.918091,162629
2008-09-15,103.650002,103.650002,94.699997,98.750000,80.950218,257187
2008-09-16,96.000000,97.500000,92.000000,96.949997,79.474663,138758
2008-09-17,98.300003,99.500000,96.400002,96.949997,79.474663,163962
2008-09-18,92.500000,95.000000,88.099998,93.449997,76.605553,183834
2008-09-19,97.000000,104.699997,96.300003,101.550003,83.245537,292371
2008-09-22,103.000000,104.199997,100.199997,100.949997,82.753670,131571
2008-09-23,98.000000,101.699997,98.000000,99.949997,81.933929,140041
2008-09-24,100.500000,103.000000,100.000000,102.199997,83.778351,155451
2008-09-25,100.000000,103.000000,99.650002,100.900002,82.712685,104839
2008-09-26,102.000000,102.000000,97.900002,98.250000,80.540352,119179
2008-09-29,99.500000,101.000000,92.000000,93.250000,76.441589,152235
2008-09-30,88.000000,95.000000,86.550003,93.050003,76.277649,170766
2008-10-01,94.599998,97.349998,93.000000,94.900002,77.794205,114923
2008-10-03,97.000000,99.800003,93.500000,95.099998,77.958153,174424
2008-10-06,90.000000,96.949997,85.000000,86.099998,70.580399,130455
2008-10-07,87.000000,89.500000,83.000000,84.599998,69.350777,127896
2008-10-08,82.000000,82.000000,76.099998,81.050003,66.440666,200305
2008-10-10,76.050003,78.300003,72.099998,73.650002,60.374519,124531
2008-10-13,75.050003,78.400002,74.500000,76.949997,63.079693,93394
2008-10-14,79.000000,82.750000,76.500000,77.349998,63.407589,113034
2008-10-15,75.500000,76.400002,72.300003,73.050003,59.882668,67885
2008-10-16,71.000000,74.750000,67.750000,73.250000,60.046623,139207
2008-10-17,75.500000,75.550003,69.500000,69.849998,57.259480,73498
2008-10-20,74.000000,74.000000,65.699997,66.500000,54.513306,99242
2008-10-21,69.949997,69.949997,67.000000,67.949997,55.701958,62363
2008-10-22,67.000000,67.500000,65.400002,65.699997,53.857517,49722
2008-10-23,65.699997,66.000000,62.500000,62.900002,51.562218,71057
2008-10-24,63.000000,63.000000,57.950001,58.500000,47.955326,105226
2008-10-27,56.700001,63.500000,50.000000,59.200001,48.529148,143042
2008-10-29,66.150002,68.400002,60.150002,61.549999,50.455559,74357
2008-10-31,64.000000,66.000000,62.450001,63.599998,52.136040,56149
2008-11-03,70.000000,74.800003,65.500000,71.449997,58.571075,149306
2008-11-04,73.000000,76.099998,70.000000,75.449997,61.850067,132735
2008-11-05,77.900002,79.000000,72.000000,72.900002,59.759708,108277
2008-11-06,69.199997,71.300003,68.250000,70.050003,57.423428,65462
2008-11-07,68.650002,76.400002,68.650002,75.349998,61.768085,119280
2008-11-10,77.000000,89.699997,75.250000,84.349998,69.145821,490096
2008-11-11,85.000000,86.400002,78.250000,80.400002,65.907829,258867
2008-11-12,77.900002,81.599998,75.800003,79.449997,65.129066,161080
2008-11-14,79.900002,82.400002,76.300003,77.050003,63.161659,100158
2008-11-17,76.000000,78.000000,73.099998,74.300003,60.907360,68666
2008-11-18,70.699997,73.849998,70.000000,71.050003,58.243183,79468
2008-11-19,72.849998,73.000000,68.199997,68.800003,56.398743,60005
2008-11-20,65.000000,68.000000,63.599998,66.599998,54.595287,85287
2008-11-21,68.000000,74.000000,66.300003,68.550003,56.193810,100226
2008-11-24,69.000000,72.449997,67.400002,70.250000,57.587383,99564
2008-11-25,72.400002,74.699997,70.699997,71.099998,58.284161,112074
2008-11-26,71.500000,72.250000,68.300003,70.650002,57.915283,53163
2008-11-27,null,null,null,null,null,null
2008-11-28,71.000000,71.000000,68.150002,69.400002,56.890591,48122
2008-12-01,70.900002,71.750000,68.550003,68.849998,56.439728,46180
2008-12-02,66.000000,69.400002,65.099998,68.699997,56.316761,28142
2008-12-03,69.150002,70.000000,68.099998,69.349998,56.849602,35344
2008-12-04,70.500000,72.800003,69.650002,72.199997,59.185879,46064
2008-12-05,72.199997,74.500000,70.250000,70.699997,57.956249,54982
2008-12-08,74.000000,74.000000,69.550003,70.300003,57.628357,70842
2008-12-10,71.150002,72.250000,70.199997,70.750000,57.997250,92268
2008-12-11,71.000000,74.000000,70.000000,71.400002,58.530090,223269
2008-12-12,70.050003,71.699997,69.250000,71.099998,58.284161,69544
2008-12-15,74.000000,76.849998,72.000000,74.250000,60.866371,156873
2008-12-16,73.750000,76.500000,73.750000,75.699997,62.055004,147742
2008-12-17,77.400002,82.500000,73.250000,73.949997,60.620430,514422
2008-12-18,74.250000,76.800003,73.199997,74.550003,61.112286,203766
2008-12-19,75.000000,77.250000,74.000000,74.849998,61.358215,274380
2008-12-22,75.099998,76.900002,74.650002,75.099998,61.563152,129322
2008-12-23,74.250000,74.949997,73.000000,73.199997,60.005634,75965
2008-12-24,72.599998,73.500000,70.699997,71.199997,58.366131,33694
